time, q0, q1, q2, q3, wx, wy, wz
5895.954517, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5902.831592, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5908.667184, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5914.806315, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5921.844400, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5929.355434, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5934.696132, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5940.905422, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5948.557424, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5954.782883, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5961.656423, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5968.920731, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5974.757703, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5981.094557, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
5988.320120, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
5995.545683, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6001.187892, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6007.410531, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6014.746046, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6021.296037, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6028.173110, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6035.050184, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6041.927257, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6047.762848, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6053.901977, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6060.940062, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6068.451098, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6073.791795, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6080.001085, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6087.653088, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6093.878545, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6100.752085, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6108.016395, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6113.853366, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6120.190219, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
